TYPE,TITLE,CONTENT,ACTORS,AGENT
MINORSTAGE,הגדרת קריטריונים להחלטה,"קביעת מה חשוב בהחלטה: עלות, זמן, שליטה בקוד, תחזוקה עתידית, אבטחה, סודיות נתונים, גמישות לשינויים. כל קריטריון מקבל משקל יחסי. הפלט הוא טבלת קריטריונים משוקללת.","מנהל פרויקט, ארכיטקט מערכות, PMO",סוכן Make or Buy
MINORSTAGE,ניתוח יכולות פנימיות,"האם לצוות הפיתוח הפנימי יש את הידע, הזמן והכלים לבצע את הפרויקט? מהי עומס העבודה הנוכחי? האם יש חוב טכני שמעכב? הפלט הוא הערכת כח אדם ועומסים.","ראש צוות פיתוח, PMO, מנמ""ר","סוכן Make or Buy, סוכן PMO"
MINORSTAGE,סקר שוק ובדיקת פתרונות קיימים,בדיקה האם קיים מוצר מדף שעונה על 80%+ מהדרישות. ביצוע RFI לקבלת מידע ראשוני מספקים. ביקור בדמואים. הפלט הוא טבלת השוואה של פתרונות קיימים.,"מנהל פרויקט, מנתח מערכות, ארכיטקט מערכות","סוכן Make or Buy, סוכן ספקים"
MINORSTAGE,החלטה ותיעוד ADR,"קבלת ההחלטה הסופית: פיתוח עצמי / רכישה / מכרז / היברידי. תיעוד הנימוקים במסמך ADR. אישור על ידי מנמ""ר ולקוח עסקי. ההחלטה מחייבת את כל הצוות.","מנמ""ר, מנהל פרויקט, לקוח עסקי, PMO","סוכן Make or Buy, סוכן דוקומנטציה"
STAGE,Requirements Analysis – איסוף דרישות ואפיון ראשוני,"לב ליבו של הפרויקט. כל כישלון בשלב זה מתגלגל לפיתוח שגוי ועלויות גבוהות. מטרה: להבין בדיוק מה המערכת צריכה לעשות, מי ישתמש בה ואיך. הפלט המרכזי הוא מסמך SRS מאושר על ידי הלקוח העסקי.","מנתח מערכות, לקוח עסקי, משתמשי קצה, מנהל פרויקט, ארכיטקט מערכות","סוכן אפיון, סוכן PMO, ארזסטרטור"
SUBSTAGE,לימוד HLD וחומרי רקע,"לפני שמתחילים לאסוף דרישות – לומדים מה כבר קיים. קריאת מסמך HLD, ספרות מקצועית, נהלים קיימים, ממשקים עם מערכות אחרות. מטרה: להגיע לפגישות עם ידע מוקדם.","מנתח מערכות, מנהל פרויקט","סוכן אפיון, סוכן דוקומנטציה"
MINORSTAGE,קריאת מסמך HLD,"קריאה מעמיקה של מסמך הגדרה עליון. הבנת הארכיטקטורה הכללית, הישויות המרכזיות, הממשקים. תיעוד שאלות פתוחות לבירור בפגישות.",מנתח מערכות,סוכן אפיון
MINORSTAGE,איסוף חומרי עזר,"קבלת ספרות מקצועית, נתוני קלט לדוגמה, גישה למערכות קיימות, פרטי אנשי קשר רלוונטיים. וידוא שיש גישה לכל מה שנדרש לפני שמתחילים.","מנהל פרויקט, איש קשר מטעם הלקוח",סוכן PMO
SUBSTAGE,בניית תוכנית פגישות אפיון,"פירוק התהליך לתתי-תהליכים וקביעת פגישת אפיון לכל תת-תהליך. לכל פגישה: מועד, נושא, משתתפים, חומרי הכנה. הצגה בפגישה הראשונה לאישור הלקוח ורתימתו למשימה.","מנהל פרויקט, מנתח מערכות, לקוח עסקי","סוכן PMO, סוכן אפיון"
MINORSTAGE,פירוק לתתי-תהליכים ו-Epics,הגדרת כל היחידות הפונקציונליות שהמערכת צריכה לטפל בהן. כל תת-תהליך הופך ל-Epic ב-Backlog.,"מנתח מערכות, מנהל פרויקט","סוכן אפיון, סוכן PMO"
MINORSTAGE,קביעת משתתפים לכל פגישה,"לכל תת-תהליך – מי חייב להיות בחדר? מומחה תחום, מנהל תהליך, משתמש קצה, איש טכני, נציג ספק? הגדרה מוקדמת מונעת עיכובים.","מנהל פרויקט, PMO",סוכן PMO
MINORSTAGE,הצגת תוכנית האפיון ורתימת הלקוח,"פגישת פתיחה עם הלקוח: הצגת לוח הזמנים, נושאי הפגישות, הציפיות ואופן קבלת האישורים. קבלת commitment מהלקוח לזמינות ומעורבות.","מנהל פרויקט, לקוח עסקי, מנהל אגף","סוכן PMO, ארזסטרטור"
SUBSTAGE,פגישות אפיון ואיסוף User Stories,"סדרת פגישות מובנות לכל תת-תהליך. בכל פגישה: הצגת תהליך קיים, הגדרת דרישות, כתיבת User Stories עם Acceptance Criteria. בסוף כל פגישה – סיכום לאישור.","מנתח מערכות, לקוח עסקי, משתמשי קצה, ארכיטקט מערכות",סוכן אפיון
MINORSTAGE,ניהול פגישת אפיון – Sprint 0,"פגישה מובנית: חזרה על סיכום הפגישה הקודמת, הצגת נושא הנוכחית, איסוף דרישות, כתיבת User Stories, הגדרת Acceptance Criteria, סיכום ומשימות להמשך.","מנתח מערכות, מנהל פרויקט, לקוח עסקי",סוכן אפיון
MINORSTAGE,ניהול Backlog ותעדוף,כל דרישה נרשמת כ-User Story ב-Backlog. הלקוח מתעדף לפי ערך עסקי. הצוות מעריך מורכבות (Story Points). ה-Backlog הוא 'חי' ומתעדכן לאורך כל הפרויקט.,"מנהל פרויקט, מנתח מערכות, לקוח עסקי, ראש צוות פיתוח","סוכן PMO, סוכן אפיון"
MINORSTAGE,אישור דרישות ו-Sign-off,כל User Story מאושרת בכתב על ידי הלקוח לפני שנכנסת לפיתוח. אישור = הלקוח אחראי לתוכן. ללא אישור – לא מפתחים.,"לקוח עסקי, מנהל פרויקט, מנתח מערכות","סוכן אפיון, סוכן דוקומנטציה"
SUBSTAGE,ניהול ספקים חיצוניים – RFP ומכרז,אם ההחלטה הייתה לצאת למכרז: הכנת מסמך RFP מפורט. הגדרת קריטריוני הערכה שקופים. ניהול תהליך המכרז. בחירת ספק. חתימה על חוזה עם KPIs ו-SLA ברורים.,"מנהל פרויקט, PMO, מנמ""ר, גורם משפטי","סוכן ספקים, ארזסטרטור"
MINORSTAGE,הכנת מסמך RFP,"כתיבת Request for Proposal מפורט: תיאור הצורך, דרישות פונקציונאליות וטכניות, לוחות זמנים, קריטריוני הערכה, תנאי חוזה. ה-RFP מבוסס על ה-SRS.","מנתח מערכות, מנהל פרויקט, גורם משפטי","סוכן ספקים, סוכן דוקומנטציה"
MINORSTAGE,הערכת הצעות ובחירת ספק,"קבלת הצעות, בדיקה מול קריטריונים, ביצוע POC/דמו לספקים המועמדים. בחירה מנומקת ומתועדת. הימנעות מהחלטות המבוססות על מערכות יחסים.","מנהל פרויקט, ארכיטקט מערכות, מנמ""ר, PMO, לקוח עסקי","סוכן ספקים, סוכן Make or Buy"
MINORSTAGE,חתימת חוזה וניהול SLA,"הגדרת KPIs ברורים: זמני תגובה, איכות קוד, כיסוי בדיקות, לוחות זמנים, תנאי תשלום צמודים לאבני דרך. חוזה ללא KPIs = חוזה שמבטיח בעיות.","מנהל פרויקט, PMO, גורם משפטי, מנמ""ר",סוכן ספקים
STAGE,Design – עיצוב ואפיון מפורט,"תרגום הדרישות לפתרון מפורט. השלב שבו מגדירים איך המערכת תיראה ותתנהג. כולל ארכיטקטורה, ממשקים, מסד נתונים, UX. הפלט הוא מסמך DDS – הבסיס לפיתוח.","ארכיטקט מערכות, מנתח מערכות, מעצב UX/UI, DBA, ראש צוות פיתוח","סוכן Design, סוכן UX/UI, סוכן דוקומנטציה, ארזסטרטור"
SUBSTAGE,תיאור תהליך ותרשים פונקציונאלי,"פרק 3 במסמך האפיון. ציור תרשים פונקציונאלי של התהליך המלא, טבלה המסבירה כל צומת בתרשים, חלוקה לתתי-תהליכים. חייב להיות מובן גם לאדם לא טכני.","מנתח מערכות, לקוח עסקי","סוכן Design, סוכן אפיון"
MINORSTAGE,ציור תרשים זרימה פונקציונאלי,"שרטוט מפורט של זרימת התהליך: התחלה, סוף, תנאים, מסלולים חלופיים, חריגים. חייב לעבור review עם הלקוח לפני המשך.",מנתח מערכות,סוכן Design
MINORSTAGE,טבלה לתיאור התרשים,"לכל אלמנט בתרשים – תיאור טקסטואלי בטבלה: מזהה, שם, תיאור, בעל אחריות, מערכת מבצעת.",מנתח מערכות,"סוכן Design, סוכן דוקומנטציה"
SUBSTAGE,תיעוד מסכים ושדות,"פרק 5 במסמך האפיון. לכל מסך: רשימת שדות, סוג נתון, חובה/רשות, מיפוי ל-DB, תיאור כפתורים ופעולות, הודעות שגיאה.","מנתח מערכות, מעצב UX/UI","סוכן Design, סוכן UX/UI"
MINORSTAGE,תיעוד שדות בטבלה,"לכל מסך: טבלה עם עמודות – שם שדה, סוג, חובה/רשות, אורך מקסימאלי, מיפוי ל-DB, תיאור, ולידציות.",מנתח מערכות,"סוכן Design, סוכן דוקומנטציה"
MINORSTAGE,תיאור כפתורים ופעולות,"לכל כפתור/פעולה: שם, מה קורה בלחיצה, תנאים להפעלה, הודעות אישור, הודעות שגיאה. תיאור מלא של ה-Business Logic.","מנתח מערכות, ראש צוות פיתוח",סוכן Design
SUBSTAGE,ERD ומבנה נתונים,"פרק 9 במסמך האפיון. תרשים ישויות-קשרים מלא ומפורט. כל ישות, כל שדה, כל קשר. הבסיס לעבודת ה-DBA ולהמשך הפיתוח.","DBA, ארכיטקט מערכות, מנתח מערכות",סוכן Design
MINORSTAGE,הגדרת ישויות וקשרים,"זיהוי כל הישויות במערכת והקשרים ביניהן (1:1, 1:N, N:M). תיעוד כל ישות עם שדותיה, מפתחות ראשיים וזרים, אינדקסים נדרשים.","DBA, מנתח מערכות",סוכן Design
MINORSTAGE,הגדרת מבנה נתונים מפורט,"לכל טבלה: שם, תיאור, כל שדה עם סוג נתון, אורך, null/not null, ברירת מחדל, קשרי FK. הפלט: Data Dictionary מלא.",DBA,סוכן Design
SUBSTAGE,היבטים טכניים ומתודות,"פרק 10 במסמך האפיון. תיעוד מתודות מרכזיות: קלט, פלט, לוגיקה עסקית. הגדרת API, ממשקים חיצוניים, מנגנוני אבטחה, ניהול הרשאות.","ארכיטקט מערכות, ראש צוות פיתוח, מנתח מערכות","סוכן Design, סוכן Security"
MINORSTAGE,תיעוד מתודות מרכזיות,"לכל מתודה/פונקציה מרכזית: שם, קלט, פלט, לוגיקה עסקית, חריגים, תלויות.","ארכיטקט מערכות, ראש צוות פיתוח","סוכן Design, סוכן דוקומנטציה"
MINORSTAGE,הגדרת ממשקים ואינטגרציות,"תיעוד כל ממשק עם מערכת חיצונית: שם המערכת, פרוטוקול (REST/SOAP/DB), כיוון (IN/OUT/BI), מבנה הנתונים, תדירות, טיפול בשגיאות.","ארכיטקט מערכות, מנתח מערכות","סוכן Design, סוכן פלטפורמה"
SUBSTAGE,אבטחת מידע בשלב העיצוב,"הגדרת מודל האבטחה: הרשאות לפי תפקיד (RBAC), הצפנת נתונים רגישים, מניעת גישה לא מורשית, ביקורת (Audit Log). חשוב במיוחד במשרד ממשלתי.","ארכיטקט מערכות, סוכן Security","סוכן Security, סוכן Design"
MINORSTAGE,הגדרת מודל הרשאות,מי רואה מה? מי עושה מה? הגדרת Roles ו-Permissions לכל פונקציה ומסך. כל פעולה רגישה דורשת הרשאה מפורשת.,"ארכיטקט מערכות, מנתח מערכות",סוכן Security
MINORSTAGE,הגדרת Audit Log,"כל פעולה רגישה נרשמת: מי, מתי, מה שינה. דרישה בסיסית בכל מערכת ממשלתית. הפלט: מפרט מה נרשם ואיפה.",ארכיטקט מערכות,"סוכן Security, סוכן Design"
SUBSTAGE,UX/UI Design,"עיצוב חוויית המשתמש: Wireframes, Mockups, Prototypes. עבודה עם משתמשי קצה לקבלת משוב. Design System: עקרונות עיצוב אחידים לכל המערכת.","מעצב UX/UI, משתמשי קצה, לקוח עסקי",סוכן UX/UI
MINORSTAGE,בניית Wireframes,שרטוט מסכים בשלד ראשוני לכל מסך מרכזי. מטרה: אישור מבנה לפני השקעה בעיצוב מלא.,"מעצב UX/UI, מנתח מערכות",סוכן UX/UI
MINORSTAGE,בניית Prototype ואישור משתמשים,בניית אב-טיפוס לחיצי (Clickable Prototype). הצגה למשתמשי קצה לקבלת משוב ואישור. שינויים בשלב זה זולים פי 10 משינויים בפיתוח.,"מעצב UX/UI, משתמשי קצה, לקוח עסקי",סוכן UX/UI
STAGE,Implementation – פיתוח,"כתיבת הקוד בפועל לפי מסמך האפיון. ניהול גרסאות, Code Review, CI/CD. בשיטת Agile – פיתוח מתבצע ב-Sprints של שבועיים. כל Sprint מסתיים ב-Potentially Shippable Product.","ראש צוות פיתוח, מפתחים, מנהל פרויקט, מנתח מערכות","סוכן פיתוח, סוכן פלטפורמה, סוכן PMO, ארזסטרטור"
SUBSTAGE,Agile Sprint Planning – תכנון ספרינט,בתחילת כל Sprint: בחירת User Stories מה-Backlog לפי תעדוף הלקוח ויכולת הצוות. פירוק Stories למשימות. הגדרת Sprint Goal.,"ראש צוות פיתוח, מפתחים, מנהל פרויקט, לקוח עסקי","סוכן PMO, ארזסטרטור"
MINORSTAGE,בחירת User Stories ל-Sprint,מה-Backlog המתועדף: בחירת Stories שניתן לסיים ב-Sprint. כל Story חייבת Acceptance Criteria ברורים. הגדרת Definition of Done.,"מנהל פרויקט, ראש צוות פיתוח, לקוח עסקי",סוכן PMO
MINORSTAGE,פירוק Stories למשימות טכניות,כל User Story מתפרקת למשימות טכניות ספציפיות. לכל Task: הערכת שעות ואחראי. הפלט: Sprint Backlog מפורט.,"מפתחים, ראש צוות פיתוח","סוכן פיתוח, סוכן PMO"
SUBSTAGE,Daily Standup – סטנדאפ יומי,פגישה יומית של 15 דקות. שלוש שאלות: מה עשיתי אתמול? מה אני עושה היום? מה חוסם אותי? לא פגישת סטטוס – פגישת תיאום.,"מפתחים, ראש צוות פיתוח, מנהל פרויקט",סוכן PMO
MINORSTAGE,זיהוי ופתרון חסמים,כל חסם שזוהה בסטנדאפ מקבל בעל אחריות לפתרון ותאריך יעד. מנהל הפרויקט אחראי לסלק חסמים ארגוניים.,"מנהל פרויקט, ראש צוות פיתוח","סוכן PMO, ארזסטרטור"
SUBSTAGE,ניהול קוד ואיכות פיתוח,"עקרונות לכל קוד שנכתב: ניהול גרסאות ב-Git, Branch Strategy מוגדרת, Code Review לפני Merge, כיסוי בבדיקות אוטומטיות. חל גם על קוד ספקים חיצוניים.","מפתחים, ראש צוות פיתוח","סוכן פיתוח, סוכן Security"
MINORSTAGE,Code Review,"כל קוד עובר ביקורת עמית לפני Merge. בודקים: לוגיקה, ביצועים, אבטחה, קריאות, עמידה בסטנדרטים. Code Review הוא מנגנון העברת ידע בין מפתחים.","מפתחים, ראש צוות פיתוח","סוכן פיתוח, סוכן Security"
MINORSTAGE,ניהול ספק חיצוני בפיתוח,"ספק חיצוני עובד לפי אותם עקרונות: Sprint Planning, Daily updates, Code Review, בדיקות. מנהל הפרויקט הוא ה-Product Owner מול הספק.","מנהל פרויקט, ראש צוות פיתוח, ספק חיצוני","סוכן ספקים, סוכן PMO"
SUBSTAGE,Sprint Review – הצגת Sprint,"בסוף כל Sprint: הדגמת ה-User Stories שהושלמו ללקוח. הלקוח מאשר, מחזיר משוב, ומתעדף מחדש את ה-Backlog. משך: ~1-2 שעות.","מנהל פרויקט, ראש צוות פיתוח, מפתחים, לקוח עסקי","סוכן PMO, ארזסטרטור"
MINORSTAGE,הדגמת פיצ'רים מוגמרים,רק פיצ'רים שעומדים ב-Definition of Done מוצגים. לא מציגים עבודה חצי גמורה. הצגה מנקודת מבט המשתמש.,"מפתחים, מנהל פרויקט","סוכן UX/UI, סוכן פיתוח"
MINORSTAGE,קבלת משוב ועדכון Backlog,"הלקוח מגיב על מה שראה: מאשר, מבקש שינויים, מוסיף דרישות חדשות. כל משוב נרשם ל-Backlog ומתועדר בספרינט הבא.","לקוח עסקי, מנהל פרויקט","סוכן PMO, סוכן אפיון"
SUBSTAGE,Sprint Retrospective – שיפור מתמיד,בסוף כל Sprint: הצוות דן בעצמו – מה עבד טוב? מה לא? מה נשפר? לא פגישת האשמות – פגישת למידה. משך: ~1.5 שעות.,"מפתחים, ראש צוות פיתוח, מנהל פרויקט",סוכן PMO
MINORSTAGE,ניתוח מה עבד ומה לא,Start/Stop/Continue: מה להתחיל לעשות? מה להפסיק? מה להמשיך? כל item מקבל בעל אחריות ותאריך יעד.,"מפתחים, ראש צוות פיתוח, מנהל פרויקט",סוכן PMO
STAGE,Testing – בדיקות,"וידוא שהמערכת עושה מה שהוגדר. מגוון סוגי בדיקות: יחידה, אינטגרציה, מערכת, קבלה, ביצועים, אבטחה. ב-Agile: בדיקות הן חלק מכל Sprint.","בודק תוכנה, מנתח מערכות, משתמשי קצה, מנהל פרויקט","סוכן בדיקות, סוכן Security, ארזסטרטור"
SUBSTAGE,בדיקות יחידה ואינטגרציה,Unit Tests: בדיקת כל פונקציה/מתודה בנפרד. Integration Tests: בדיקת ממשקים בין מודולים. אוטומטיות ככל האפשר. מריצים בכל Commit.,"מפתחים, בודק תוכנה","סוכן בדיקות, סוכן פיתוח"
MINORSTAGE,כתיבת Unit Tests,לכל מתודה: לפחות תרחיש Happy Path אחד ותרחיש שגיאה אחד. יעד כיסוי: 80%+. TDD אם אפשרי.,מפתחים,"סוכן בדיקות, סוכן פיתוח"
MINORSTAGE,בדיקות אינטגרציה,"בדיקת כל ממשק: API, DB, שירותים חיצוניים. מה קורה כשהמערכת השנייה מחזירה שגיאה? מה קורה ב-Timeout?","בודק תוכנה, מפתחים",סוכן בדיקות
SUBSTAGE,בדיקות מערכת וביצועים,System Testing: בדיקת המערכת כולה כ-end-to-end. Performance Testing: כמה משתמשים במקביל? Security Testing. Regression Testing.,"בודק תוכנה, ארכיטקט מערכות","סוכן בדיקות, סוכן Security, סוכן Monitoring"
MINORSTAGE,בדיקות עומסים,הרצת סימולציות של עומס: כמה משתמשים בו-זמנית? מה הנקודה שבה המערכת קורסת? הגדרת SLA ביצועים ובדיקה שהמערכת עומדת בו.,"בודק תוכנה, ארכיטקט מערכות","סוכן בדיקות, סוכן Monitoring"
MINORSTAGE,בדיקות אבטחה,"בדיקת חולשות: SQL Injection, XSS, הרשאות לא תקינות, חשיפת מידע רגיש. חשוב במיוחד במשרד ממשלתי. פלט: דוח ממצאי אבטחה + תיקונים.","בודק תוכנה, ארכיטקט מערכות",סוכן Security
SUBSTAGE,בדיקות קבלה – UAT,User Acceptance Testing: המשתמשים העסקיים בודקים את המערכת מול תרחישים עסקיים אמיתיים. אישור UAT = אות ירוק לגו-לייב.,"לקוח עסקי, משתמשי קצה, מנהל פרויקט, מנתח מערכות","סוכן בדיקות, סוכן אפיון"
MINORSTAGE,הכנת תרחישי UAT,כתיבת תרחישי בדיקה מנקודת מבט עסקית. לא 'לחץ כפתור X' אלא 'בצע הזמנה חדשה עבור לקוח Y'. תרחישים מכסים את כל הדרישות שאושרו.,"מנתח מערכות, לקוח עסקי","סוכן בדיקות, סוכן אפיון"
MINORSTAGE,ביצוע UAT ותיעוד ממצאים,"משתמשי קצה מריצים את התרחישים. כל ממצא – באג, חוסר, שיפור – מתועד עם חומרה (Critical/Major/Minor).","לקוח עסקי, משתמשי קצה, בודק תוכנה, מנהל פרויקט","סוכן בדיקות, סוכן דוקומנטציה"
STAGE,Deployment – פריסה והטמעה,"העברת המערכת לסביבת ייצור. תכנון קפדני למניעת downtime. כולל: תכנית מעבר, Rollback Plan, הדרכת משתמשים, גו-לייב.","מנהל פרויקט, DevOps, ראש צוות פיתוח, משתמשי קצה, PMO","סוכן Deployment, סוכן Security, סוכן Monitoring, ארזסטרטור"
SUBSTAGE,תכנון הטמעה ומעבר נתונים,"לוח זמנים לגו-לייב, הגדרת חלונות זמן לפריסה, תכנית מיגרציה של נתונים קיימים, Rollback Plan, תיאום עם כל הגורמים.","מנהל פרויקט, DevOps, DBA","סוכן Deployment, סוכן PMO"
MINORSTAGE,מיגרציה של נתונים,"העברת נתונים ממערכת ישנה לחדשה. כולל: ניקוי נתונים, המרת פורמטים, וולידציה של שלמות הנתונים. מיגרציה רעה = מערכת טובה עם נתונים גרועים = כישלון.","DBA, מפתחים, מנתח מערכות, לקוח עסקי",סוכן Deployment
MINORSTAGE,תכנית Rollback,מה עושים אם הגו-לייב נכשל? בכמה זמן ניתן לחזור למצב הקודם? מי מחליט על Rollback? נקודת ה-Go/No-Go.,"מנהל פרויקט, DevOps, מנמ""ר","סוכן Deployment, ארזסטרטור"
SUBSTAGE,הדרכת משתמשים,"הכנת חומרי הדרכה (מדריך משתמש, סרטוני וידאו, Quick Reference), קיום הדרכות, מינוי Super Users בכל יחידה.","מנהל פרויקט, מנתח מערכות, לקוח עסקי","סוכן דוקומנטציה, סוכן UX/UI"
MINORSTAGE,הכנת חומרי הדרכה,"מדריך משתמש מפורט, FAQ, הסבר על שינויים מהמערכת הישנה. כתוב בשפת המשתמש – לא שפת מפתחים.","מנתח מערכות, מעצב UX/UI",סוכן דוקומנטציה
MINORSTAGE,ביצוע הדרכות וגו-לייב,הדרכות לכל קבוצות המשתמשים לפני הגו-לייב. ביום הגו-לייב: נציגי הצוות זמינים לתמיכה צמודה. הגדרת Support Window.,"מנהל פרויקט, מנתח מערכות, ראש צוות פיתוח","סוכן Deployment, סוכן PMO"
SUBSTAGE,ניטור לאחר גו-לייב,"מעקב אינטנסיבי בשבועות הראשונים לאחר הגו-לייב: ביצועים, שגיאות, עומסים, התנהגות משתמשים. הגדרת Dashboards ו-Alerts. תגובה מהירה לכל חריגה.","ראש צוות פיתוח, DevOps, מנהל פרויקט","סוכן Monitoring, סוכן Security"
MINORSTAGE,הגדרת Dashboards והתראות,"הגדרת מדדים: זמן תגובה, שיעור שגיאות, עומס CPU/Memory, מספר משתמשים פעילים. הגדרת Alerts לכל חריגה מסף.","DevOps, ארכיטקט מערכות",סוכן Monitoring
MINORSTAGE,תגובה לאירועים – Incident Response,"כשמשהו משתבש: זיהוי, בידוד, תיקון, פוסט-מורטם. תהליך מוגדר לכל רמת חומרה. תיעוד כל אירוע ולמידה ממנו.","ראש צוות פיתוח, DevOps, מנהל פרויקט","סוכן Monitoring, סוכן Security, ארזסטרטור"
STAGE,Maintenance – תחזוקה ושיפור שוטף,"תהליך שוטף לאחר גו-לייב. תיקוני באגים, שיפורים על בסיס משוב, עדכוני אבטחה, גרסאות חדשות. לא נגמר עד שהמערכת נכבת.","מנהל פרויקט, ראש צוות פיתוח, מפתחים, בודק תוכנה, PMO, לקוח עסקי","סוכן Monitoring, סוכן פיתוח, סוכן בדיקות, סוכן ספקים, ארזסטרטור"
SUBSTAGE,ניהול באגים וקריאות שירות,"מנגנון לקבלת דיווחי בעיות, תיעדוף, טיפול ומעקב. SLA ברור לכל רמת חומרה: Critical (2 שעות), Major (24 שעות), Minor (שבוע).","ראש צוות פיתוח, מפתחים, לקוח עסקי, מנהל פרויקט","סוכן Monitoring, סוכן בדיקות, סוכן פיתוח"
MINORSTAGE,תיעדוף ושיוך באגים,"כל באג מקבל: חומרה, בעל אחריות, תאריך יעד, גרסת תיקון. Bugs קריטיים = הכל עוצר.","ראש צוות פיתוח, בודק תוכנה","סוכן Monitoring, סוכן בדיקות"
MINORSTAGE,בדיקת Regression לאחר תיקון,כל תיקון באג עובר בדיקת Regression – וידוא שהתיקון לא שבר משהו אחר. שחרור Fix לייצור רק לאחר אישור בדיקות.,"בודק תוכנה, מפתחים","סוכן בדיקות, סוכן פיתוח"
SUBSTAGE,ניהול שינויים וגרסאות,"כל שינוי במערכת עובר תהליך מוגדר: בקשת שינוי (CR), אישור, אפיון, פיתוח, בדיקה, פריסה. מונע כאוס ושינויים לא מבוקרים.","מנהל פרויקט, PMO, לקוח עסקי, ראש צוות פיתוח","סוכן PMO, ארזסטרטור"
MINORSTAGE,תהליך Change Request,הלקוח מגיש בקשת שינוי. הצוות מעריך עלות/זמן. הלקוח מאשר. רק אז מפתחים. ללא תהליך CR – כל שיחה טלפונית הופכת ל-Scope Creep.,"לקוח עסקי, מנהל פרויקט, ראש צוות פיתוח","סוכן PMO, סוכן אפיון"
